"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"TB_setaria_12_0204","TWUZ","#926","TB_setaria_12_0204","53.732873","78.033428","Diversity","TB_0204","TWUZ_TWUZ_TWUZ_TWUZ",0.95
"TB_setaria_12_0206","XCHG","TB_setaria_12_0206","TB_setaria_12_0206","56.223886","28.441429","Diversity","TB_0206","XCHG_XCHG_XCHG_XCHG",1
"TB_setaria_12_0212","TOSU","NA-4","TB_setaria_12_0212","54.768959","-101.85653","Diversity","TB_0212","TOSU_TOSU_TOSU_TOSU",0.85
"TB_setaria_12_0226","XTNH","TB_setaria_12_0226","TB_setaria_12_0226","39.491291","-119.80559","Diversity","TB_0226","XTNH_XTNH_XTNH_XTNH",0.95
"TB_setaria_12_0255","OBXU","PI_202407","TB_setaria_12_0255","-37.438","-72.2471","Diversity","TB_0255","OBXU_OBXU_OBXU_OBXU",0.55
"TB_setaria_12_0256","AGTZO","USDA_PI204624","TB_setaria_12_0256","38.838905","35.198078","Diversity","TB_0256","AGTZO_AGTZO_AGTZO_AGTZO",0.95
"TB_setaria_12_0260","AGTZS","USDA_PI204730","TB_setaria_12_0260","38.216604","35.050964","Diversity","TB_0260","AGTZS_AGTZS_AGTZS_AGTZS",1
"TB_setaria_12_0265","OBXW","PI_230135","TB_setaria_12_0265","35.762393","51.965275","Diversity","TB_0265","OBXW_OBXW_OBXW_OBXW",0.7
"TB_setaria_12_0266","AGTZT","USDA_PI408810","TB_setaria_12_0266","43.8482699","125.3073549","Diversity","TB_0266","AGTZT_AGTZT_AGTZT_AGTZT",1
"TB_setaria_12_0275","WZHN","MF6","TB_setaria_12_0275","46.74162","-118.22792","Diversity","TB_0275","WZHN_WZHN_WZHN_WZHN",0.45
"TB_setaria_12_0278","WZHO","MF9","TB_setaria_12_0278","47.10102","-119.2599","Diversity","TB_0278","WZHO_WZHO_WZHO_WZHO",0.8
"TB_setaria_12_0281","WZHS","MF12","TB_setaria_12_0281","47.37184","-120.13941","Diversity","TB_0281","WZHS_WZHS_WZHS_WZHS",0.75
"TB_setaria_12_0282","WZHT","MF13","TB_setaria_12_0282","47.46936","-120.33607","Diversity","TB_0282","WZHT_WZHT_WZHT_WZHT",0.9
"TB_setaria_12_0285","WZHW","MF16","TB_setaria_12_0285","46.69722","-120.44344","Diversity","TB_0285","WZHW_WZHW_WZHW_WZHW",0.5
"TB_setaria_12_0292","XGPA","MF23","TB_setaria_12_0292","46.46062","-117.01885","Diversity","TB_0292","XGPA_XGPA_XGPA_XGPA",0.55
"TB_setaria_12_0294","XGPB","MF25","TB_setaria_12_0294","46.33914","-117.04884","Diversity","TB_0294","XGPB_XGPB_XGPB_XGPB",0.7
"TB_setaria_12_0296","XGPC","MF27","TB_setaria_12_0296","46.04094","-117.25344","Diversity","TB_0296","XGPC_XGPC_XGPC_XGPC",0.95
"TB_setaria_12_0297","XGPG","MF28","TB_setaria_12_0297","45.55232","-117.24785","Diversity","TB_0297","XGPG_XGPG_XGPG_XGPG",0.55
"TB_setaria_12_0299","XGPN","MF30","TB_setaria_12_0299","45.2085","-117.86142","Diversity","TB_0299","XGPN_XGPN_XGPN_XGPN",0.7
"TB_setaria_12_0309","XGPW","MF40","TB_setaria_12_0309","43.83647","-116.94662","Diversity","TB_0309","XGPW_XGPW_XGPW_XGPW",0.8
"TB_setaria_12_0310","XGPX","MF41","TB_setaria_12_0310","43.44433","-116.57316","Diversity","TB_0310","XGPX_XGPX_XGPX_XGPX",0.95
"TB_setaria_12_0311","XGPY","MF42","TB_setaria_12_0311","43.50305","-116.4938","Diversity","TB_0311","XGPY_XGPY_XGPY_XGPY",0.3
"TB_setaria_12_0314","XGSB","MF45","TB_setaria_12_0314","42.93453","-114.78152","Diversity","TB_0314","XGSB_XGSB_XGSB_XGSB",0.85
