"","gwas_label","height_dap22_cm","SV_area_dap22_cm2"
"85","TB_setaria_12_0411",16.5710010052523,80.1486145079266
"86","TB_setaria_12_0412",27.9127568819606,93.3901449477004
"87","TB_setaria_12_0418",18.5251284822868,121.224986726181
"88","TB_setaria_12_0420",15.0624145929817,144.085334020287
"89","TB_setaria_12_0428",16.5397349656199,117.502777328682
"90","TB_setaria_12_0429",15.586120756827,59.8378473977875
"91","TB_setaria_12_0433",20.0180818747412,106.455781005445
"92","TB_setaria_12_0434",17.454266624872,83.6667982670104
"93","TB_setaria_12_0441",11.7482143919312,62.1064111363904
"94","TB_setaria_12_0444",11.5762511739523,49.1482660898867
"95","TB_setaria_12_0446",21.2140078906863,95.0368598609457
"96","TB_setaria_12_0447",20.3072927413423,67.3687327913588
"97","TB_setaria_12_0449",13.1786357051205,72.9037795740199
"98","TB_setaria_12_0450",20.5105219989539,96.0170120571047
"99","TB_setaria_12_0455",10.3490591183746,82.4707756929056
"100","TB_setaria_12_0456",21.7455305644397,94.2006212500835
"101","TB_setaria_12_0460",18.1655690265126,94.1834463777641
"102","TB_setaria_12_0475",14.5465249390447,67.8913819231476
"103","TB_setaria_12_0477",17.4620831347801,62.6563031690997
"104","TB_setaria_12_0487",23.347915095608,96.8479205351784
"105","TB_setaria_12_0488",22.5506310849779,84.9827488288629
"106","TB_setaria_12_0490",11.0056459506582,50.0647528110688
"107","TB_setaria_12_0491",19.9477332855679,86.937130851416
"108","TB_setaria_12_0492",18.4235138534811,67.8176484195695
"109","TB_setaria_12_0496",27.0138582425246,128.719745664184
"110","TB_setaria_12_0508",17.8372756103707,79.7532963260919
"111","TB_setaria_12_0511",19.0097520965914,62.4484279903372
"112","TB_setaria_12_0512",14.6637725876667,59.8935176735814
"113","TB_setaria_12_0513",11.4277374856977,71.7270047016522
"114","TB_setaria_12_0530",26.3260053706085,127.484339331139
"115","TB_setaria_12_0531",14.1009838742808,89.7961548556207
"116","TB_setaria_12_0534",19.2755134334681,95.0664717097721
"117","TB_setaria_12_0544",10.1927289202119,42.3413904001249
"118","TB_setaria_12_0546",22.1207230400303,80.9433965304315
"119","TB_setaria_12_0549",17.2354043474442,77.8237882565531
"120","TB_setaria_12_0550",18.5485780120112,118.239224008998
"121","TB_setaria_12_0551",21.0342281627992,75.767837592525
"122","TB_setaria_12_0554",19.7914030874052,119.711821251144
"123","TB_setaria_12_0555",21.9722093517757,110.73350868693
"124","TB_setaria_12_0558",17.4073675654231,104.215940760203
"125","TB_setaria_12_0559",25.6537855185086,119.132613488096
"126","TB_setaria_12_0560",17.6731289022998,115.943417369475
"127","TB_setaria_12_0564",12.0608747882568,72.494839941725
"128","TB_setaria_12_0569",17.4933491744127,85.3857660913924
"129","TB_setaria_12_0577",16.1645424900292,104.550554651944
"130","TB_setaria_12_0580",10.3959581778234,36.2043347308198
"131","TB_setaria_12_0582",20.0962469738226,98.2316822308435
"132","TB_setaria_12_0586",16.7898632826803,70.8830670100951
"133","TB_setaria_12_0590",7.91030802703557,53.1289869276415
"134","TB_setaria_12_0593",19.158265784846,67.3228344256776
"135","TB_setaria_12_0594",13.6163602599763,93.5065195135888
"136","TB_setaria_12_0597",24.027951457616,111.960031465326
"137","TB_setaria_12_0604",20.6043201178516,106.056021046286
"138","TB_setaria_12_0605",17.7200279617486,79.8886224752293
"139","TB_setaria_12_0606",21.933126802235,99.0267603718363
"140","TB_setaria_12_0610",19.3145959830089,77.9493424955778
"141","TB_setaria_12_0611",23.2306674469858,93.3759312602635
"142","TB_setaria_12_0641",14.0384517950157,69.2958719129915
"143","A10.1",19.8304856369459,107.462879984036
"144","TB_setaria_16_0647",20.3854578404237,80.2519598603313
"145","TB_setaria_16_0648",14.0462683049238,69.1516622092062
"146","TB_setaria_16_0649",10.4350407273641,57.5843857020862
"147","TB_setaria_16_0658",16.9774595204756,68.576303986506
"148","TB_setaria_16_0660",18.3218992246753,82.362100207712
"149","TB_setaria_16_0663",20.2134946224446,98.8277687477223
"150","TB_setaria_16_0664",22.8711079912115,118.438511751601
