"genotype","tv.hue_circular_mean","totalSV.nir_median","WUE.resid","avg.sv.height","avg.sv.area","area.over.water","water.amount.plus.cum","trt.day"
"TB_setaria_16_0746",0.0972127113069195,-0.0306205948489671,1.07104857252436,1.17867791914546,1.06499905700058,1.24273064308222,-0.0376605849524894,"dry.11"
"TB_setaria_16_0793",-0.00239470469855452,0.249116217084024,0.189660084642787,-0.423981280771856,0.190049264880816,0.368254249978719,-0.0395154680883317,"dry.11"
"TB_setaria_16_0781",-0.0181804860357269,0.21214635452318,0.506796236401853,0.197351700608467,0.492067217797142,0.523656047309581,-0.0344628750285966,"dry.11"
"TB_setaria_16_0683",-0.0557903573541585,-0.0961059855321059,0.248252865416388,-0.247351885286115,0.252600102776842,0.317108242869713,-0.0368053531266433,"dry.11"
"TB_setaria_12_0610",0.139992612395299,-0.280677355173922,0.419192516566346,0.550439909570321,0.406196870755185,0.448157164055978,-0.0377726965380905,"dry.11"
"TB_setaria_16_0689",0.0942342949474123,0.0644199028553327,-0.322720577387769,-0.430280917266435,-0.288676138939816,-0.366526840205183,-0.0228440990452587,"dry.11"
"TB_setaria_12_0433",-0.113786137379167,0.0171092124884494,0.975072239092701,0.977912902989447,1.0293865041583,0.842771962585052,-0.0167773003806186,"dry.11"
"TB_setaria_12_0107",-0.145394938639204,-0.210119752653018,-0.334263716707861,-0.435377206866347,-0.302684343322215,-0.34137411632304,-0.0321005861586813,"dry.11"
"TB_setaria_12_0281",-0.0659522879406849,-0.229398295232906,0.217716001167592,0.0367460563272929,0.259373309584395,0.220642769874738,-0.020421798521862,"dry.11"
"TB_setaria_12_0590",0.0234449989979949,0.0590640633107349,-1.06707473576504,-1.13250071066189,-1.02725686521242,-0.857875875049549,-0.0331575949355981,"dry.11"
"TB_setaria_12_0337",-0.035038068286417,-0.0145112156984751,0.159232102875236,-0.00173717904380703,0.146561508946344,0.248332823889637,-0.0380347668790718,"dry.11"
"TB_setaria_12_0135",0.0124460135317812,0.0414513075893296,0.903062667013225,1.20913685036404,0.899657194128686,1.06925883258512,-0.0358904233093884,"dry.11"
"TB_setaria_12_0605",-0.09553490604833,-0.21960154929581,-0.0208851307695207,0.247951117103307,0.0115464425456941,-0.0329833311717422,-0.0249747023866509,"dry.11"
"TB_setaria_12_0409",0.176816024631418,-0.487495519327745,-0.387218047690192,-0.141326543309679,-0.351786282990883,-0.394503298785678,-0.0258760262958888,"dry.11"
"TB_setaria_12_0165",-0.085388455958603,-0.193356410255988,-0.308789229042935,-0.0259324315415224,-0.310276137410757,-0.295582314991428,-0.0357163458448131,"dry.11"
"TB_setaria_16_0673",0.0630732837530951,0.15309678740248,-0.116512522402714,-0.132692252975784,-0.217672000947738,-0.0851636477122545,-0.0276388756414756,"dry.11"
"TB_setaria_16_0763",-0.0419201725993553,-0.116073080601877,0.470069119328028,0.658509980491811,0.442354145295759,0.606809791818755,-0.0463727603604323,"dry.11"
"TB_setaria_16_0726",0.137624816609935,-0.0295838809178369,0.459043043862138,0.450277219462228,0.451070134322088,0.519482571521626,-0.0358167331627056,"dry.11"
"TB_setaria_16_0727",0.00207743163500935,-0.156353295413248,0.913516743470452,1.07590469819663,0.929460115643726,0.961381432644567,-0.0249927914103543,"dry.11"
"TB_setaria_16_0669",0.127786123673139,-0.078266447265895,0.00883687279895473,0.170783100253419,0.0310168295648323,-0.0453027470654912,-0.0248426081782789,"dry.11"
"TB_setaria_12_0554",0.0323789786665949,0.129020785221009,-0.709984470455415,-0.780742480091891,-0.699041266011532,-0.639741556501898,-0.0386611399226934,"dry.11"
"TB_setaria_12_0309",-0.10047405304894,-0.0415698231884756,0.167728773486203,-0.109170137308646,0.180485979939886,0.492858707710951,-0.0336921741685932,"dry.11"
"TB_setaria_12_0606",-0.0694526641958717,0.109254272319356,0.158446134857823,0.0808675890981035,0.182469244338965,0.192363601673698,-0.0281938773333989,"dry.11"
"TB_setaria_16_0709",-0.0393483705774647,0.139921177151176,0.0522232247137171,-0.0482897389666751,0.062331364225853,0.0971972314391247,-0.0352113278846661,"dry.11"
"TB_setaria_12_0475",0.0123267010371542,-0.00270469451565052,-0.397380972379232,-0.1207806711854,-0.337216809657174,-0.393654165149375,-0.0211164133023746,"dry.11"
"TB_setaria_16_0707",0.0906373191495765,-0.00481486856768832,0.592265146274042,0.3527889369177,0.628485557540723,0.559913555265387,-0.0156862414034294,"dry.11"
"TB_setaria_12_0488",-0.0733962871297256,-0.161390598296445,0.458791974524463,0.638973485350473,0.511720075277621,0.403000755080634,-0.0124485914504222,"dry.11"
"TB_setaria_16_0782",0.039684426435501,0.248074829119107,0.764524058513226,0.373262896155324,0.722320391472284,0.947246989706452,-0.0506218890211963,"dry.11"
"TB_setaria_16_0754",-0.0340697140054371,0.113616976920748,1.10491841671672,1.21725801137329,1.05693277949249,1.33378613219078,-0.0484764468229311,"dry.11"
"TB_setaria_16_0798",-0.0592774055738563,0.107178180961829,0.717064249084314,0.244469248821659,0.67838572367921,0.913398545750263,-0.0526514290400838,"dry.11"
"TB_setaria_16_0807",0.0752278123015289,0.0838235545984966,-0.665320934386147,-0.538368206992547,-0.57376247816367,-0.670725677436004,-0.0102239499294602,"dry.11"
"TB_setaria_12_0285",-0.118716124924686,0.156258101351561,-0.0579506460183905,-0.183915133201655,-0.0584703229397912,0.103509732401296,-0.0391829265360721,"dry.11"
"TB_setaria_16_0670",-0.0269265787955476,0.110375767764839,0.145884105550709,-0.0807999669524173,0.174612331472723,-0.0309888738993204,-0.0209763036161531,"dry.11"
"TB_setaria_12_0435",-0.0327102020484369,0.0779865695383625,0.367067012395051,0.362783618520737,0.36542179528713,0.475514089589707,-0.0385862218910469,"dry.11"
"TB_setaria_12_0569",0.0404645470980165,0.0320660177266462,-0.263476578018479,-0.453847929000318,-0.26230193733771,-0.201133222891695,-0.0384296890346146,"dry.11"
"TB_setaria_12_0450",0.0686874975561969,-0.0253044626526945,-0.176379425347499,0.193234217084848,-0.211991780256868,-0.051180605538697,-0.0440274652465146,"dry.11"
"TB_setaria_12_0023",-0.115994620736323,-0.0113811839813862,0.153156180127836,0.592377405685265,0.179089505562564,0.113289096059522,-0.0242038794006465,"dry.11"
"TB_setaria_12_0512",0.0983260471957405,0.048908512572269,-0.372350934677526,-0.552419330053152,-0.332663892212296,-0.303628007698168,-0.027979858641191,"dry.11"
"TB_setaria_12_0582",-0.049514724714398,0.0480812128192208,0.191172772148756,-0.363025812398218,0.151733071179654,0.24504015700117,-0.0483362127165575,"dry.11"
"TB_setaria_12_0299",-0.106702815543998,0.231305339444147,-1.16628982283385,-1.15071622807726,-1.12519763665281,-0.967784639006521,-0.0262215995855297,"dry.11"
"TB_setaria_12_0491",0.0843032962908364,-0.0438161833040966,-0.216486090396397,-0.333048177601371,-0.201321557293882,-0.119704629285085,-0.0366091371012602,"dry.11"
"TB_setaria_16_0747",-0.149847434534847,0.0461181046829832,-0.161242838250389,-0.149851942093983,-0.146109792931981,-0.151875278939245,-0.0293031972289044,"dry.11"
"TB_setaria_16_0667",0.0680699437779316,0.0316501224360696,0.579598822629794,0.700448296399094,0.618827179640334,0.540713963493862,-0.0283185512944116,"dry.11"
"TB_setaria_12_0339",-0.0395642224529293,-0.0526338523430519,0.111292581857521,0.240850022920525,0.0897925517141528,0.116302436088023,-0.0384240487559415,"dry.11"
"TB_setaria_12_0341",0.00732424623480877,0.0763036924089333,-0.55076362346819,-0.685878368018977,-0.507763487063815,-0.439207223888837,-0.0324288191864858,"dry.11"
"TB_setaria_12_0063",0.137026103946384,0.155796262946593,-0.892738375876886,-0.833369988156774,-0.812185636371952,-0.717270585308301,-0.0281263783846391,"dry.11"
